	CREBBP	CREBBP.1	CREBBP.2	PBX3	RAD21	RAD21.1	CTCF	ELF3	KLF5	ZEB1	PHF8	NMYC	NMYC.1	NMYC.2	BCL6	BCL6.1	BCL6.2	JUN	JUND	ZNF217	ESRRB	EZH1	EZH2	EED	SUZ12	MYC	MYC.1	MYC.2	TP53	PCDH7	BMI1	FUS	TAF15	NANOG	NANOG.1	NANOG.2	NANOG.3	NANOG.4	GATA2	RUNX1	TAL1	GATA2.1	GATA2.2	FOXP1
	KD	KD	KD	OE	KD	KD	KD	KO	KO	OE	OE	KD	KD	KD	KD	KD	KD	KD	KD	KD	OE	KD	KD	KD	KD	OE	KD	KD	KD	KD	KD	KD	KD	KD	KD	KD	KD	KD	KD	OE	OE	OE	OE	OE
FOXP1_22492998_ChIP.Seq_STRATIUM_Mouse	0.343877551020408	0.3484393757503	0.401152460984394	0.5146818727491	0.499939975990396	0.492268907563025	0.420300120048019	0.389399759903962	0.366230492196879	0.393805522208884	0.419951980792317	0.405402160864346	0.395798319327731	0.433625450180072	0.344081632653061	0.379423769507803	0.394501800720288	0.435654261704682	0.497226890756302	0.386278511404562	0.391896758703481	0.339579831932773	0.345558223289316	0.378991596638655	0.375402160864346	0.428895558223289	0.436710684273709	0.412328931572629	0.365138055222089	0.359627851140456	0.466950780312125	0.363229291716687	0.393961584633854	0.232521008403361	0.232304921968788	0.297551020408163	0.248163265306122	0.457382953181273	0.39171668667467	0.408775510204082	0.431944777911164	0.48639855942377	0.412605042016807	0.489951980792317
FOXP1_21924763_ChIP.Seq_HESCs_Human	0.421518059408965	0.421855611998153	0.420677032388031	0.465111178179623	0.408263584100884	0.408073663043755	0.424152736819522	0.468248093698752	0.427685930278645	0.417531389881786	0.430674959728591	0.434952310651651	0.41272565625125	0.416835812646132	0.417978247984611	0.442451410681105	0.448682843106953	0.492195200884335	0.471548494776535	0.417990647578806	0.416558985342298	0.423051354682938	0.418207076859303	0.424369820624052	0.424122083277275	0.487095622325088	0.41828703787876	0.427672003461705	0.422952776090964	0.41157136675527	0.413218112861761	0.417980793355854	0.41612419957165	0.450465584762681	0.435395350697614	0.421929755026199	0.42348668589028	0.42554538215113	0.399883240184867	0.410747539171445	0.402457555934533	0.40711565803301	0.404341057929013	0.421852848452232
RAD21_21589869_ChIP.Seq_MESCs_Mouse	0.515128165496596	0.509914176706501	0.51294703360531	0.507960415531169	0.502873900770376	0.499506780446932	0.506994069651094	0.527894522765544	0.505103516721306	0.490331904300927	0.489465048362036	0.512311371789761	0.494060621344375	0.50083081829053	0.490554231373091	0.511078607628918	0.507818135966875	0.515556712520439	0.507861739080918	0.499203592375963	0.486923784034427	0.505942958015733	0.502553954786174	0.499619448941242	0.501439390857989	0.528415889104916	0.47530599461469	0.481690190112831	0.474360880847983	0.47830354600698	0.480612640022127	0.49361873306922	0.496710486711626	0.519041219585608	0.50842687123252	0.504848812709982	0.506534447273585	0.501538474053707	0.495167863854157	0.498317456701945	0.478866319034874	0.471132867474192	0.467833185549147	0.492674920888007
RAD21_21589869_ChIP.Seq_MESCs_Mouse.1	0.515128165496596	0.509914176706501	0.51294703360531	0.507960415531169	0.502873900770376	0.499506780446932	0.506994069651094	0.527894522765544	0.505103516721306	0.490331904300927	0.489465048362036	0.512311371789761	0.494060621344375	0.50083081829053	0.490554231373091	0.511078607628918	0.507818135966875	0.515556712520439	0.507861739080918	0.499203592375963	0.486923784034427	0.505942958015733	0.502553954786174	0.499619448941242	0.501439390857989	0.528415889104916	0.47530599461469	0.481690190112831	0.474360880847983	0.47830354600698	0.480612640022127	0.49361873306922	0.496710486711626	0.519041219585608	0.50842687123252	0.504848812709982	0.506534447273585	0.501538474053707	0.495167863854157	0.498317456701945	0.478866319034874	0.471132867474192	0.467833185549147	0.492674920888007
CTCF_18555785_ChIP.Seq_MESCs_Mouse	0.432647689362239	0.43067742786064	0.430508214199732	0.452770816375664	0.407087599023238	0.400484941589187	0.416666284521994	0.449605397411352	0.416688296055121	0.401911105506323	0.404485767021679	0.422451763788735	0.407222305020235	0.41742980957731	0.398441537597304	0.423099613651736	0.436945899778738	0.478528437295791	0.463068659933278	0.403949579831933	0.385260985703968	0.419515860914625	0.417013997959347	0.416696550380043	0.417489424146193	0.473251974732594	0.398927167046901	0.405784562119527	0.405316243823587	0.392579935111835	0.398606394808947	0.401546195558715	0.402220986621115	0.438356472193243	0.423882169511734	0.418303506941658	0.426348493012485	0.423306888922008	0.405330918179004	0.401290311486122	0.382511722287824	0.38926788723675	0.376974216698958	0.415008311646623
CTCF_18555785_Chip.Seq_ESCs_Mouse	0.487823425666563	0.48941146829102	0.491707942436234	0.476638210839891	0.447550279371008	0.453931794940198	0.447651653253894	0.476139048211877	0.473745053576986	0.453617446978792	0.448009870614913	0.488047663509848	0.466567515895247	0.478000385339321	0.447087279356187	0.477416744475568	0.460127458390764	0.481971603456197	0.479288752538052	0.439958353711855	0.463315400234168	0.452588739199383	0.455661523868807	0.456576111926252	0.458680953863027	0.476063314214575	0.448784847272242	0.450641293554459	0.444611918841611	0.433304136469403	0.440143316585894	0.437495146206631	0.439913743275088	0.459870763120063	0.455237650615802	0.454693729343589	0.458978109762423	0.467347383397804	0.472756658218843	0.470429356927956	0.468242111659479	0.451930105375484	0.445727772590518	0.445875980021638
CTCF_20526341_ChIP.Seq_ESCs_Human	0.51101064136995	0.511814447428456	0.508756677928904	0.509828539663288	0.515354977042363	0.512376043200785	0.51202056080164	0.501577723873054	0.4906493112709	0.498427040919461	0.50238405671547	0.506807372433509	0.509276112506858	0.506499465765688	0.501874512691675	0.511138207860464	0.518690692771954	0.510439010655809	0.50698388633804	0.51238116896243	0.497524257125531	0.512080698258685	0.510591556210113	0.510142510612492	0.509435877443761	0.514362023159779	0.497727843714805	0.499015131825926	0.491176181812931	0.501315299315602	0.498903159201825	0.510134352710156	0.512493285974184	0.507181480839759	0.506860290507956	0.509009933870455	0.511206719801323	0.513762453434982	0.505291590863149	0.503826922521586	0.500314692887464	0.499570157960091	0.499351627248838	0.50752786681683
CTCF_21964334_Chip.Seq_Bcells_Human	0.461097443560376	0.462901354859084	0.462916759737809	0.501457224503	0.457605542675365	0.459077632886335	0.468601005938581	0.4966831755617	0.474802856064516	0.457297059978895	0.46116807492933	0.489496414514477	0.475378151260504	0.478775235116962	0.451424951282071	0.476437313697248	0.473594805474894	0.504707807962782	0.49571097366536	0.460867217647829	0.454605904690015	0.467151098752975	0.459345446702971	0.461267513421501	0.46496761124248	0.512424419813755	0.454019055834983	0.461778416224418	0.454124425205463	0.453526253764567	0.457539455745635	0.469538469833396	0.468765530043365	0.493022745303438	0.485926641967511	0.476112270756148	0.4848163353334	0.482954424666292	0.460091582004021	0.4592810543099	0.4438460590469	0.439515054417734	0.43674987868658	0.472026665845073
CTCF_21964334_ChIP.Seq_BJAB.B_Human	0.469734511266253	0.46827455014409	0.466851500276078	0.501010823771453	0.464719799711064	0.465371873321786	0.478957483983692	0.509597455543874	0.483685074389792	0.468924430258152	0.483474649986007	0.491205742422982	0.479169572419427	0.482466700451558	0.452670241814097	0.48006557798637	0.48006595617545	0.520190758571656	0.507286342079586	0.481133508308814	0.464701873548699	0.468125468008986	0.464910482644903	0.465455301832704	0.470109372281766	0.523212867505238	0.467387394201605	0.47654910028818	0.466702720692237	0.467690853118925	0.468442617370981	0.475719504723582	0.473689537020929	0.499823536975546	0.496595541907132	0.486070993653987	0.491396047167742	0.489949549576806	0.47605624427989	0.468944020452465	0.455396153060684	0.45049119197634	0.449065116595693	0.488310326831002
